position,color,type,Answer.condition,block_trial,trial,utterance_label,block,clicked,utterance,workerid,init_images,Answer.bonus,label,Answer.time_in_minutes,quantifier,percentage
2,blue,75_100_2,some,4,16,color,2,0, The machine dispensed all of the orange ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,all,75
1,blue,90_0_1,some,5,17,prior,2,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,90_0_1,some,5,17,prior,2,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,0
1,blue,90_0_1,some,5,17,quantifier,2,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,90_0_1,some,5,17,quantifier,2,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,0
1,blue,90_0_1,some,5,17,color,2,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,90
2,orange,90_0_1,some,5,17,color,2,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,0
1,orange,60_90_2,some,6,18,prior,2,0, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
2,blue,60_90_2,some,6,18,prior,2,1, The machine dispensed,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
1,orange,60_90_2,some,6,18,quantifier,2,0, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
2,blue,60_90_2,some,6,18,quantifier,2,1, The machine dispensed most of the,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
1,orange,60_90_2,some,6,18,color,2,0, The machine dispensed most of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,competitor,10.411766666666667,most,60
2,blue,60_90_2,some,6,18,color,2,1, The machine dispensed most of the blue ones.,0,"['gumball_orange_0.png', 'gumball_blue_0.png']",206,target,10.411766666666667,most,90
1,blue,75_100_1,some,7,19,prior,2,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,7,19,prior,2,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,7,19,quantifier,2,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,7,19,quantifier,2,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,7,19,color,2,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,7,19,color,2,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,60_90_1,some,8,20,prior,2,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,8,20,prior,2,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,blue,60_90_1,some,8,20,quantifier,2,0, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,8,20,quantifier,2,1, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,blue,60_90_1,some,8,20,color,2,0, The machine dispensed some of the orange ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
2,orange,60_90_1,some,8,20,color,2,1, The machine dispensed some of the orange ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
1,blue,25_60_2,some,1,21,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,25_60_2,some,1,21,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,25
1,blue,25_60_2,some,1,21,quantifier,3,1, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,25_60_2,some,1,21,quantifier,3,0, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,25
1,blue,25_60_2,some,1,21,color,3,1, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,25_60_2,some,1,21,color,3,0, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,25
1,blue,60_90_1,some,2,22,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,60_90_1,some,2,22,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
1,blue,60_90_1,some,2,22,quantifier,3,1, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,60_90_1,some,2,22,quantifier,3,0, The machine dispensed some of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
1,blue,60_90_1,some,2,22,color,3,1, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,some,60
2,orange,60_90_1,some,2,22,color,3,0, The machine dispensed some of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,some,90
1,blue,75_100_1,some,3,23,prior,3,0, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,3,23,prior,3,1, The machine dispensed,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,3,23,quantifier,3,1, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,3,23,quantifier,3,0, The machine dispensed most of the,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
1,blue,75_100_1,some,3,23,color,3,1, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,target,10.411766666666667,most,75
2,orange,75_100_1,some,3,23,color,3,0, The machine dispensed most of the blue ones.,0,"['gumball_blue_0.png', 'gumball_orange_0.png']",206,competitor,10.411766666666667,most,100
